Cloud dimensions: X: 0.01 Y: 0.01 Z: 0.01
Radius		X position		Y position		Z position
1e-05		0.0028868		0.0087020		0.0044548
1e-05		0.0066059		0.0006742		0.0096892
1e-05		0.0058254		0.0029475		0.0057615
1e-05		0.0060812		0.0049419		0.0067125
1e-05		0.0043798		0.0086317		0.0068621
1e-05		0.0097764		0.0067520		0.0093683
1e-05		0.0014065		0.0044023		0.0083869
1e-05		0.0073024		0.0030563		0.0059478
1e-05		0.0089975		0.0083118		0.0053843
1e-05		0.0088661		0.0072896		0.0097744
1e-05		0.0093484		0.0094379		0.0063043
1e-05		0.0033246		0.0070021		0.0011665
1e-05		0.0097652		0.0090126		0.0037744
1e-05		0.0078773		0.0001811		0.0022238
1e-05		0.0070416		0.0021275		0.0059410
1e-05		0.0090839		0.0023623		0.0063405
1e-05		0.0010554		0.0077112		0.0065597
1e-05		0.0037259		0.0050257		0.0097497
1e-05		0.0000429		0.0093341		0.0098186
1e-05		0.0097301		0.0001337		0.0019782
1e-05		0.0038753		0.0081878		0.0052100
1e-05		0.0028466		0.0074438		0.0019263
1e-05		0.0070617		0.0069424		0.0075951
1e-05		0.0076949		0.0021896		0.0003380
1e-05		0.0075410		0.0098530		0.0045201
1e-05		0.0014502		0.0086198		0.0027138
1e-05		0.0020028		0.0074333		0.0022426
1e-05		0.0000886		0.0029652		0.0095052
1e-05		0.0055764		0.0063175		0.0088936
1e-05		0.0066166		0.0064907		0.0093915
1e-05		0.0065700		0.0048486		0.0052577
1e-05		0.0091367		0.0099366		0.0054165
1e-05		0.0050370		0.0097998		0.0035655
1e-05		0.0015081		0.0042014		0.0047569
1e-05		0.0074300		0.0031713		0.0065242
1e-05		0.0062016		0.0029177		0.0033516
1e-05		0.0038215		0.0063840		0.0036174
1e-05		0.0071768		0.0041093		0.0011279
1e-05		0.0039077		0.0064414		0.0070214
1e-05		0.0037299		0.0021415		0.0023062
1e-05		0.0027109		0.0082943		0.0094752
1e-05		0.0072278		0.0015558		0.0035345
1e-05		0.0074699		0.0040407		0.0001390
1e-05		0.0042413		0.0062780		0.0045384
1e-05		0.0016210		0.0031158		0.0004649
1e-05		0.0047601		0.0027651		0.0068722
1e-05		0.0036540		0.0001632		0.0088288
1e-05		0.0091331		0.0010645		0.0083379
1e-05		0.0019730		0.0040310		0.0026188
1e-05		0.0041453		0.0029237		0.0080868
1e-05		0.0097694		0.0091160		0.0070967
1e-05		0.0005759		0.0031147		0.0083539
1e-05		0.0040887		0.0008945		0.0001559
1e-05		0.0057600		0.0002010		0.0060901
1e-05		0.0096163		0.0063802		0.0073314
1e-05		0.0033332		0.0067242		0.0006103
1e-05		0.0029711		0.0090951		0.0027030
1e-05		0.0016688		0.0037920		0.0032650
1e-05		0.0039530		0.0079490		0.0074324
1e-05		0.0096802		0.0043490		0.0055919
1e-05		0.0063760		0.0055831		0.0028299
1e-05		0.0017132		0.0098992		0.0052730
1e-05		0.0048375		0.0027391		0.0086804
1e-05		0.0002136		0.0007720		0.0010463
1e-05		0.0050886		0.0076296		0.0078363
1e-05		0.0047622		0.0085322		0.0013512
1e-05		0.0057894		0.0044989		0.0074459
1e-05		0.0093845		0.0006773		0.0071650
1e-05		0.0052703		0.0092858		0.0086075
1e-05		0.0039533		0.0099351		0.0077418
1e-05		0.0010503		0.0053325		0.0025998
1e-05		0.0084929		0.0087188		0.0091111
1e-05		0.0050605		0.0018133		0.0009222
1e-05		0.0090816		0.0089243		0.0018740
1e-05		0.0024973		0.0084693		0.0078808
1e-05		0.0076625		0.0028321		0.0050613
1e-05		0.0038146		0.0084648		0.0070996
1e-05		0.0082333		0.0099335		0.0005239
1e-05		0.0099638		0.0092068		0.0096325
1e-05		0.0015052		0.0091734		0.0043007
1e-05		0.0044257		0.0064046		0.0058037
1e-05		0.0015305		0.0007517		0.0036553
1e-05		0.0069660		0.0098673		0.0043076
1e-05		0.0020554		0.0012171		0.0037081
1e-05		0.0092003		0.0041378		0.0080225
1e-05		0.0063238		0.0012505		0.0027702
1e-05		0.0020726		0.0044131		0.0034541
1e-05		0.0068014		0.0047548		0.0049765
1e-05		0.0013258		0.0006855		0.0045375
1e-05		0.0067734		0.0035166		0.0078084
1e-05		0.0068363		0.0008304		0.0052215
1e-05		0.0022774		0.0087381		0.0015219
1e-05		0.0044171		0.0005989		0.0096771
1e-05		0.0078349		0.0030046		0.0045175
1e-05		0.0071724		0.0039590		0.0098538
1e-05		0.0028924		0.0018481		0.0079037
1e-05		0.0041433		0.0087061		0.0063324
1e-05		0.0090070		0.0002087		0.0089551
1e-05		0.0071118		0.0000247		0.0002431
1e-05		0.0030760		0.0067837		0.0041344
1e-05		0.0025370		0.0070085		0.0098904
1e-05		0.0077139		0.0053561		0.0061593
1e-05		0.0044117		0.0022613		0.0013906
1e-05		0.0008297		0.0081538		0.0002312
1e-05		0.0057666		0.0088441		0.0008433
1e-05		0.0007249		0.0082103		0.0044244
1e-05		0.0099426		0.0076809		0.0013526
1e-05		0.0046495		0.0044995		0.0056660
1e-05		0.0089570		0.0027926		0.0003598
1e-05		0.0008752		0.0094463		0.0010844
1e-05		0.0062797		0.0043524		0.0058133
1e-05		0.0033362		0.0053874		0.0020807
1e-05		0.0047680		0.0009055		0.0003561
1e-05		0.0045497		0.0057609		0.0038475
1e-05		0.0057061		0.0086771		0.0024613
1e-05		0.0080577		0.0066993		0.0051715
1e-05		0.0059084		0.0000191		0.0081236
1e-05		0.0030159		0.0040924		0.0074874
1e-05		0.0035046		0.0014912		0.0073603
1e-05		0.0033094		0.0039946		0.0064733
1e-05		0.0033649		0.0044180		0.0044253
1e-05		0.0000483		0.0099012		0.0018201
1e-05		0.0070854		0.0053855		0.0060132
1e-05		0.0029777		0.0085284		0.0024971
1e-05		0.0003587		0.0058539		0.0078966
1e-05		0.0093805		0.0070955		0.0091671
1e-05		0.0056247		0.0082950		0.0072057
1e-05		0.0068562		0.0046746		0.0023221
1e-05		0.0058565		0.0090126		0.0060192
1e-05		0.0039439		0.0001455		0.0097864
1e-05		0.0012105		0.0075826		0.0093089
1e-05		0.0098138		0.0070666		0.0060630
1e-05		0.0072590		0.0048582		0.0034079
1e-05		0.0062492		0.0069508		0.0087189
1e-05		0.0035446		0.0067695		0.0047009
1e-05		0.0073695		0.0084729		0.0089517
1e-05		0.0014272		0.0051450		0.0075932
1e-05		0.0092184		0.0079419		0.0050699
1e-05		0.0096685		0.0014287		0.0045695
1e-05		0.0073255		0.0062676		0.0093227
1e-05		0.0038292		0.0008877		0.0037683
1e-05		0.0056264		0.0099444		0.0013597
1e-05		0.0039484		0.0091896		0.0054434
1e-05		0.0031865		0.0073609		0.0001730
1e-05		0.0063875		0.0069202		0.0027601
1e-05		0.0065629		0.0055398		0.0021098
1e-05		0.0001894		0.0054970		0.0082827
1e-05		0.0014654		0.0014023		0.0077657
1e-05		0.0076888		0.0065677		0.0001134
1e-05		0.0034253		0.0069178		0.0086791
1e-05		0.0015056		0.0069946		0.0019446
1e-05		0.0029045		0.0054579		0.0028324
1e-05		0.0008744		0.0068220		0.0020872
1e-05		0.0024641		0.0027280		0.0019142
1e-05		0.0063619		0.0078994		0.0008028
1e-05		0.0034164		0.0094183		0.0053649
1e-05		0.0036534		0.0082704		0.0050696
1e-05		0.0082265		0.0004618		0.0007828
1e-05		0.0081061		0.0051371		0.0080880
1e-05		0.0073029		0.0080398		0.0076020
1e-05		0.0014780		0.0037479		0.0094253
1e-05		0.0018231		0.0065420		0.0089655
1e-05		0.0056760		0.0097386		0.0082752
1e-05		0.0062339		0.0098478		0.0002493
1e-05		0.0034994		0.0034019		0.0060216
1e-05		0.0045870		0.0082134		0.0068499
1e-05		0.0035657		0.0054458		0.0080182
1e-05		0.0066967		0.0081314		0.0079732
1e-05		0.0010556		0.0048131		0.0045645
1e-05		0.0019606		0.0047576		0.0014918
1e-05		0.0077945		0.0041725		0.0082185
1e-05		0.0074691		0.0044612		0.0039732
1e-05		0.0088646		0.0066589		0.0094323
1e-05		0.0049957		0.0035685		0.0079208
1e-05		0.0090190		0.0095667		0.0009403
1e-05		0.0021381		0.0004462		0.0053401
1e-05		0.0077801		0.0098507		0.0032383
1e-05		0.0060402		0.0090951		0.0033538
1e-05		0.0070683		0.0072721		0.0057786
1e-05		0.0098959		0.0014966		0.0071646
1e-05		0.0000446		0.0099306		0.0073459
1e-05		0.0016482		0.0000772		0.0028741
1e-05		0.0039481		0.0015712		0.0031103
1e-05		0.0079486		0.0091400		0.0026964
1e-05		0.0086848		0.0040895		0.0052384
1e-05		0.0051523		0.0098992		0.0069280
1e-05		0.0034951		0.0082491		0.0060638
1e-05		0.0048208		0.0000031		0.0057745
1e-05		0.0074754		0.0020442		0.0031464
1e-05		0.0041427		0.0056307		0.0032819
1e-05		0.0064617		0.0011075		0.0068540
1e-05		0.0059754		0.0083453		0.0091571
1e-05		0.0063616		0.0020613		0.0093332
1e-05		0.0036807		0.0081090		0.0075302
1e-05		0.0076430		0.0029548		0.0016397
1e-05		0.0046231		0.0049147		0.0061557
1e-05		0.0050735		0.0005030		0.0048557
1e-05		0.0023612		0.0031261		0.0031762
1e-05		0.0027907		0.0038804		0.0051677
